menu_id,menu_name,serving_size_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,sodium_mg,meal_type
batch-05-028,"Nasi, Kacang Gude, Daun Ubi Merah Kukus, dan Buah Naga Merah",520.0,546.0,20.5,4.56,110.36,9.84,81.2,lunch
batch-05-029,"Nasi Merah, Mujahir Goreng, Kacang Panjang Kukus, dan Buah Naga Merah",480.0,577.4,39.2,19.12,63.3,6.96,104.4,lunch
batch-05-030,"Nasi, Bebek Goreng, Paria Putih Kukus, dan Buah Naga Merah",490.0,529.0,23.7,18.35,66.81,5.84,43.0,lunch
batch-05-031,"Nasi Merah, Ikan Lais, Selada Rebus, dan Buah Naga Merah",510.0,420.1,26.21,9.83,58.76,,191.8,lunch
batch-05-032,"Nasi, Kedelai Rebus, Taoge Seduh, dan Buah Naga Merah",500.0,494.2,27.46,11.62,75.02,6.72,192.0,lunch
batch-05-033,"Nasi Merah, Kacang Belimbing, Terung Kukus, dan Buah Naga Merah",500.0,459.0,22.18,10.82,71.9,8.2,68.4,lunch
batch-05-034,"Nasi Merah, Ayam Kalasan, Daun Kacang Panjang Kukus, dan Mangga",505.0,510.15,39.97,10.25,66.625,5.89,153.7,dinner
batch-05-035,"Nasi, Pepes Mujahir, Daun Talas Rebus, dan Mangga",515.0,412.25,25.305,3.15,69.74,5.34,60.0,dinner
batch-05-036,"Nasi Merah, Ikan Baung, Daun Ubi Merah Kukus, dan Mangga",515.0,461.5,25.73,6.03,81.07,,212.9,dinner
batch-05-037,"Nasi, Pepes Ikan Mas, Kacang Panjang Kukus, dan Mangga",505.0,492.55,22.0,10.125,81.65,5.935,121.2,dinner
batch-05-038,"Nasi Merah, Ikan Papuyu, Paria Putih Kukus, dan Mangga",515.0,380.3,20.5,6.065,61.225,4.57,289.3,dinner
batch-05-039,"Nasi, Ikan Patin, Selada Rebus, dan Mangga",515.0,414.2,24.815,6.125,66.115,,379.05,dinner
batch-05-040,"Nasi Merah, Cumi, Taoge Seduh, dan Mangga",505.0,476.25,40.83,9.775,56.85,4.13,112.6,dinner
batch-05-041,"Nasi, Tahu, Terung Kukus, dan Mangga",525.0,409.85,17.175,8.625,69.235,2.795,30.55,dinner
batch-05-042,"Nasi Merah, Tempe, Bayam Rebus, dan Mangga",495.0,484.9,19.42,19.96,61.26,6.56,56.7,dinner
batch-05-043,"Nasi, Kacang Merah, Daun Kacang Panjang Kukus, dan Mangga",525.0,488.1,21.925,1.845,100.47,8.25,23.0,dinner
batch-05-044,"Nasi Merah, Kacang Merah Segar, Daun Talas Rebus, dan Mangga",525.0,412.1,16.14,1.83,84.495,8.775,20.8,dinner
batch-05-045,"Nasi, Kacang Tolo, Daun Ubi Merah Kukus, dan Mangga",525.0,504.3,20.985,2.035,106.15,5.975,78.05,dinner
batch-05-046,"Nasi Merah, Kacang Gude, Kacang Panjang Kukus, dan Mangga",525.0,441.35,18.93,2.235,90.895,8.9,83.4,dinner
batch-05-047,"Nasi, Mujahir Goreng, Paria Putih Kukus, dan Mangga",485.0,514.0,31.555,13.915,63.56,4.46,42.6,dinner
batch-05-048,"Nasi Merah, Bebek Goreng, Selada Rebus, dan Mangga",495.0,452.7,25.32,14.335,57.355,3.47,83.4,dinner
batch-05-049,"Nasi, Ikan Lais, Taoge Seduh, dan Mangga",515.0,436.55,25.475,7.615,69.47,,164.4,dinner
batch-05-050,"Nasi Merah, Kedelai Rebus, Terung Kukus, dan Mangga",505.0,408.25,22.89,6.81,68.355,4.01,164.05,dinner
batch-05-051,"Nasi, Kacang Belimbing, Bayam Rebus, dan Mangga",505.0,453.6,19.315,8.25,77.345,7.84,71.55,dinner
batch-05-052,Yoghurt dan Buah Naga Merah,220.0,137.2,5.34,6.22,14.92,3.84,52.0,snack
batch-05-053,Yoghurt dan Mangga,220.0,114.4,4.14,2.5,18.76,1.92,43.6,snack
batch-05-054,Ubi Ungu dan Belimbing,200.0,175.2,1.2,0.64,42.4,4.72,5.6,snack
batch-05-055,Talas Bogor dan Jambu Air,180.0,142.0,1.8,0.44,34.36,2.66,19.8,snack
batch-05-056,Kacang Merah dan Jeruk Bali,170.0,136.6,5.87,0.69,28.98,2.26,28.2,snack
batch-05-057,Kacang Merah Segar dan Kedondong,160.0,132.4,7.0,0.7,25.12,4.7,5.6,snack
batch-05-058,Jagung Rebus dan Manggis,200.0,205.0,5.6,1.3,45.9,2.3,15.0,snack
batch-05-059,Ubi Kukus dan Buah Naga Merah,200.0,158.8,3.0,3.96,27.72,7.12,20.0,snack
batch-05-060,Tahu dan Mangga,180.0,131.4,6.66,5.1,16.26,1.98,7.8,snack
batch-06-001,"Talas Belitung, Kacang Merah, dan Cempedak",330.0,459.9,13.04,1.72,102.46,6.98,40.3,breakfast
batch-06-002,"Ubi Gadung, Kacang Merah Segar, dan Duku",330.0,310.2,9.9,1.45,67.21,8.45,15.8,breakfast
batch-06-003,"Suweg Kukus, Kacang Tolo, dan Kesemek",330.0,327.9,11.61,1.43,70.93,2.67,19.4,breakfast
batch-06-004,"Talas Bogor, Tahu, dan Langsat",330.0,328.0,10.91,7.45,58.6,2.53,23.1,breakfast
batch-06-005,"Ubi Kuning, Kacang Gude, dan Nangka",330.0,373.6,9.45,1.15,85.3,7.92,17.7,breakfast
batch-06-006,"Ubi Ungu, Yoghurt, dan Alpukat",370.0,361.0,6.93,10.49,61.46,,63.2,breakfast
batch-06-007,"Singkong Kukus, Kacang Tolo, dan Jambu Bol",330.0,388.9,12.66,1.53,82.28,6.17,14.4,breakfast
batch-06-008,"Jagung Rebus, Kacang Merah, dan Cempedak",300.0,412.8,17.24,1.96,87.52,6.44,35.8,breakfast
batch-06-009,"Jagung Pipil, Kacang Merah Segar, dan Duku",300.0,363.0,13.56,5.2,69.94,7.94,12.8,breakfast
batch-06-010,"Roti, Susu Skim, dan Kesemek",360.0,298.8,12.6,1.32,60.2,,394.0,breakfast
batch-06-011,"Ubi Kukus, Kacang Gude, dan Langsat",330.0,311.6,9.9,1.05,67.8,10.27,27.2,breakfast
batch-06-012,"Ubi Rebus, Tahu, dan Nangka",300.0,416.4,11.84,7.58,80.24,14.82,31.6,breakfast
batch-06-013,"Talas Belitung, Yoghurt, dan Alpukat",400.0,380.5,7.65,10.85,65.0,,72.5,breakfast
batch-06-014,"Suweg Kukus, Kacang Merah, dan Jambu Bol",330.0,314.9,12.79,1.07,65.01,6.93,14.8,breakfast
batch-06-015,"Ubi Gadung, Kacang Tolo, dan Cempedak",330.0,358.4,12.46,1.73,78.03,5.47,44.4,breakfast
batch-06-016,"Nasi, Ayam Kalasan, Beberuk, dan Alpukat",495.0,637.25,34.75,26.41,63.435,,241.2,lunch
batch-06-017,"Nasi Merah, Pepes Mujahir, Sayur Kaparende, dan Alpukat",510.0,448.7,28.59,13.5,52.62,,400.2,lunch
batch-06-018,"Nasi, Ikan Baung, Rebung Asam, dan Alpukat",510.0,460.6,22.52,12.88,63.94,,160.4,lunch
batch-06-019,"Nasi Merah, Pepes Ikan Mas, Lilin Bungkus Gedi, dan Alpukat",500.0,589.0,21.02,26.42,67.74,,407.2,lunch
batch-06-020,"Nasi, Ikan Papuyu, Sayur Bunga Pepaya, dan Alpukat",510.0,535.8,23.74,12.95,81.09,,471.2,lunch
batch-06-021,"Nasi Merah, Ikan Patin, Sayur Lilin Terubuk, dan Alpukat",510.0,465.4,25.41,14.05,60.17,,409.1,lunch
batch-06-022,"Nasi, Cumi, Tinira Ninahu Nggaluku, dan Alpukat",500.0,579.0,39.38,17.54,63.66,,394.0,lunch
batch-06-023,"Nasi Merah, Tahu, Waluh Balamak, dan Alpukat",520.0,468.8,15.56,17.28,65.4,,137.0,lunch
batch-06-024,"Nasi, Tempe, Beberuk, dan Alpukat",480.0,632.6,18.7,34.06,67.14,,121.2,lunch
batch-06-025,"Nasi Merah, Kacang Merah, Sayur Kaparende, dan Alpukat",520.0,497.8,19.36,11.88,80.1,,354.0,lunch
batch-06-026,"Nasi, Kacang Merah Segar, Rebung Asam, dan Alpukat",520.0,475.0,16.5,8.66,83.96,,15.2,lunch
batch-06-027,"Nasi Merah, Kacang Tolo, Lilin Bungkus Gedi, dan Alpukat",520.0,559.8,19.56,18.48,80.9,,361.0,lunch
batch-06-028,"Nasi, Kacang Gude, Sayur Bunga Pepaya, dan Alpukat",520.0,546.0,16.9,7.96,102.56,,197.2,lunch
batch-06-029,"Nasi Merah, Mujahir Goreng, Sayur Lilin Terubuk, dan Alpukat",480.0,585.4,37.8,22.72,56.3,,100.4,lunch
batch-06-030,"Nasi, Bebek Goreng, Tinira Ninahu Nggaluku, dan Alpukat",490.0,577.0,23.7,23.95,66.81,,349.0,lunch
batch-06-031,"Nasi Merah, Ikan Lais, Waluh Balamak, dan Alpukat",510.0,486.1,21.61,14.63,67.76,,257.8,lunch
batch-06-032,"Nasi, Kedelai Rebus, Beberuk, dan Alpukat",500.0,582.2,22.86,23.82,72.62,,254.0,lunch
batch-06-033,"Nasi Merah, Kacang Belimbing, Rebung Asam, dan Alpukat",500.0,457.0,19.78,14.82,64.5,,48.4,lunch
batch-06-034,"Nasi Merah, Ayam Kalasan, Sayur Kaparende, dan Jambu Bol",500.0,489.0,36.84,13.58,51.98,7.13,503.7,dinner
batch-06-035,"Nasi, Pepes Mujahir, Rebung Asam, dan Jambu Bol",515.0,382.85,26.245,3.79,58.24,,58.0,dinner
batch-06-036,"Nasi Merah, Ikan Baung, Lilin Bungkus Gedi, dan Jambu Bol",515.0,509.1,25.57,17.01,62.53,,523.3,dinner
batch-06-037,"Nasi, Pepes Ikan Mas, Sayur Bunga Pepaya, dan Jambu Bol",505.0,511.55,20.74,9.665,83.79,10.035,255.6,dinner
batch-06-038,"Nasi Merah, Ikan Papuyu, Sayur Lilin Terubuk, dan Jambu Bol",515.0,421.3,26.28,7.365,61.605,6.91,344.5,dinner
batch-06-039,"Nasi, Ikan Patin, Tinira Ninahu Nggaluku, dan Jambu Bol",515.0,442.0,23.115,8.745,66.055,,678.45,dinner
batch-06-040,"Nasi Merah, Cumi, Waluh Balamak, dan Jambu Bol",505.0,510.65,37.59,10.195,63.17,21.21,205.2,dinner
batch-06-041,"Nasi, Tahu, Beberuk, dan Jambu Bol",525.0,499.25,17.235,20.045,63.455,10.635,125.35,dinner
batch-06-042,"Nasi Merah, Tempe, Sayur Kaparende, dan Jambu Bol",485.0,481.3,21.66,20.44,55.36,9.0,391.5,dinner
batch-06-043,"Nasi, Kacang Merah, Rebung Asam, dan Jambu Bol",525.0,430.1,17.585,2.265,84.35,,14.4,dinner
batch-06-044,"Nasi Merah, Kacang Merah Segar, Lilin Bungkus Gedi, dan Jambu Bol",525.0,523.5,19.94,13.03,81.575,12.655,386.2,dinner
batch-06-045,"Nasi, Kacang Tolo, Sayur Bunga Pepaya, dan Jambu Bol",525.0,485.9,19.505,2.235,96.41,10.515,212.45,dinner
batch-06-046,"Nasi Merah, Kacang Gude, Sayur Lilin Terubuk, dan Jambu Bol",525.0,431.75,19.87,2.655,82.035,10.14,85.8,dinner
batch-06-047,"Nasi, Mujahir Goreng, Tinira Ninahu Nggaluku, dan Jambu Bol",485.0,548.4,34.035,16.535,62.4,10.54,386.0,dinner
batch-06-048,"Nasi Merah, Bebek Goreng, Waluh Balamak, dan Jambu Bol",495.0,506.9,22.74,16.075,66.095,21.21,162.8,dinner
batch-06-049,"Nasi, Ikan Lais, Beberuk, dan Jambu Bol",515.0,514.95,22.895,17.495,65.67,,239.4,dinner
batch-06-050,"Nasi Merah, Kedelai Rebus, Rebung Asam, dan Jambu Bol",505.0,387.65,22.73,7.67,59.055,,148.85,dinner
batch-06-051,"Nasi, Kacang Belimbing, Sayur Bunga Pepaya, dan Jambu Bol",505.0,507.8,22.015,7.79,88.065,13.26,232.35,dinner
batch-06-052,Yoghurt dan Alpukat,250.0,179.5,4.65,12.25,15.55,,43.0,snack
batch-06-053,Yoghurt dan Jambu Bol,250.0,125.5,6.75,2.8,18.4,5.25,41.5,snack
batch-06-054,Ubi Ungu dan Cempedak,200.0,271.2,4.32,0.64,66.16,4.96,30.8,snack
batch-06-055,Talas Bogor dan Duku,180.0,159.0,2.2,0.44,38.66,4.86,10.8,snack
batch-06-056,Kacang Merah dan Kesemek,170.0,172.6,6.11,0.93,38.1,2.02,3.0,snack
batch-06-057,Kacang Merah Segar dan Langsat,160.0,142.4,6.9,0.8,29.12,3.5,4.6,snack
batch-06-058,Jagung Rebus dan Nangka,200.0,248.0,6.2,1.0,57.9,4.5,7.0,snack
batch-06-059,Ubi Kukus dan Alpukat,230.0,201.1,2.31,9.99,28.35,,11.0,snack
batch-06-060,Tahu dan Jambu Bol,180.0,127.8,8.58,5.34,13.02,4.26,5.4,snack
batch-07-001,"Talas Belitung, Kacang Merah, dan Durian",330.0,477.9,12.54,4.32,101.86,7.08,16.3,breakfast
batch-07-002,"Ubi Gadung, Kacang Merah Segar, dan Duwet",330.0,327.2,9.4,1.85,69.31,5.05,29.8,breakfast
batch-07-003,"Suweg Kukus, Kacang Tolo, dan Biwah",330.0,300.9,11.11,1.13,63.03,2.77,20.4,breakfast
batch-07-004,"Talas Bogor, Tahu, dan Buah Mentega",330.0,311.0,10.71,7.45,54.0,3.13,23.1,breakfast
batch-07-005,"Ubi Kuning, Kacang Gude, dan Buah Naga Putih",330.0,323.6,9.05,1.85,68.6,7.42,22.7,breakfast
batch-07-006,"Ubi Ungu, Yoghurt, dan Arbai",370.0,313.0,6.83,4.49,62.06,,63.15,breakfast
batch-07-007,"Singkong Kukus, Kacang Tolo, dan Jeruk Banjar",330.0,400.9,11.16,1.53,86.78,8.07,16.4,breakfast
batch-07-008,"Jagung Rebus, Kacang Merah, dan Durian",300.0,430.8,16.74,4.56,86.92,6.54,11.8,breakfast
batch-07-009,"Jagung Pipil, Kacang Merah Segar, dan Duwet",300.0,380.0,13.06,5.6,72.04,4.54,26.8,breakfast
batch-07-010,"Roti, Susu Skim, dan Biwah",360.0,271.8,12.1,1.02,52.3,,395.0,breakfast
batch-07-011,"Ubi Kukus, Kacang Gude, dan Buah Mentega",330.0,294.6,9.7,1.05,63.2,10.87,27.2,breakfast
batch-07-012,"Ubi Rebus, Tahu, dan Buah Naga Putih",300.0,366.4,11.44,8.28,63.54,14.32,36.6,breakfast
batch-07-013,"Talas Belitung, Yoghurt, dan Arbai",400.0,332.5,7.55,4.85,65.6,,72.45,breakfast
batch-07-014,"Suweg Kukus, Kacang Merah, dan Jeruk Banjar",330.0,326.9,11.29,1.07,69.51,8.83,16.8,breakfast
batch-07-015,"Ubi Gadung, Kacang Tolo, dan Durian",330.0,376.4,11.96,4.33,77.43,5.57,20.4,breakfast
batch-07-016,"Nasi, Ayam Kalasan, Daun Kol Sawi Segar, dan Arbai",500.0,517.0,38.52,11.62,64.3,,181.95,lunch
batch-07-017,"Nasi Merah, Pepes Mujahir, Daun Labu Siam Segar, dan Arbai",510.0,392.7,31.69,4.3,57.42,,92.15,lunch
batch-07-018,"Nasi, Ikan Baung, Daun Oyong Segar, dan Arbai",510.0,426.6,22.42,6.28,71.34,,234.35,lunch
batch-07-019,"Nasi Merah, Pepes Ikan Mas, Daun Pakis Segar, dan Arbai",500.0,461.0,25.32,10.82,70.54,,107.15,lunch
batch-07-020,"Nasi, Ikan Papuyu, Gambas Segar, dan Arbai",510.0,427.8,21.84,6.75,70.29,,337.15,lunch
batch-07-021,"Nasi Merah, Ikan Patin, Labu Siam Segar, dan Arbai",510.0,405.4,21.11,6.85,64.57,,355.05,lunch
batch-07-022,"Nasi, Cumi, Rebung Segar, dan Arbai",500.0,515.0,38.48,9.14,66.66,,77.95,lunch
batch-07-023,"Nasi Merah, Tahu, Sawi Segar, dan Arbai",520.0,386.8,18.46,10.08,57.8,,58.95,lunch
batch-07-024,"Nasi, Tempe, Terong Segar, dan Arbai",490.0,544.2,20.6,20.86,72.52,,35.15,lunch
batch-07-025,"Nasi Merah, Kacang Merah, Daun Kol Sawi Segar, dan Arbai",520.0,417.8,18.66,2.88,82.7,,51.95,lunch
batch-07-026,"Nasi, Kacang Merah Segar, Daun Labu Siam Segar, dan Arbai",520.0,465.0,22.4,2.66,90.16,,41.15,lunch
batch-07-027,"Nasi Merah, Kacang Tolo, Daun Oyong Segar, dan Arbai",520.0,397.8,16.86,2.28,80.5,,100.95,lunch
batch-07-028,"Nasi, Kacang Gude, Daun Pakis Segar, dan Arbai",520.0,478.0,22.4,2.16,97.36,,57.15,lunch
batch-07-029,"Nasi Merah, Mujahir Goreng, Gambas Segar, dan Arbai",480.0,503.4,33.9,15.72,55.5,,86.35,lunch
batch-07-030,"Nasi, Bebek Goreng, Labu Siam Segar, dan Arbai",490.0,523.0,22.4,15.55,72.61,,32.95,lunch
batch-07-031,"Nasi Merah, Ikan Lais, Rebung Segar, dan Arbai",510.0,398.1,21.51,7.03,62.76,,141.75,lunch
batch-07-032,"Nasi, Kedelai Rebus, Sawi Segar, dan Arbai",500.0,460.2,25.16,8.02,74.22,,191.95,lunch
batch-07-033,"Nasi Merah, Kacang Belimbing, Terong Segar, dan Arbai",500.0,435.0,19.88,8.42,72.3,,60.35,lunch
batch-07-034,"Nasi Merah, Ayam Kalasan, Daun Labu Siam Segar, dan Jeruk Banjar",505.0,505.95,40.73,10.67,61.165,13.43,175.7,dinner
batch-07-035,"Nasi, Pepes Mujahir, Daun Oyong Segar, dan Jeruk Banjar",515.0,410.25,24.745,3.13,70.22,10.02,141.4,dinner
batch-07-036,"Nasi Merah, Ikan Baung, Daun Pakis Segar, dan Jeruk Banjar",515.0,433.1,28.91,6.45,69.45,,195.3,dinner
batch-07-037,"Nasi, Pepes Ikan Mas, Gambas Segar, dan Jeruk Banjar",505.0,457.55,17.26,9.445,75.75,8.855,110.2,dinner
batch-07-038,"Nasi Merah, Ikan Papuyu, Labu Siam Segar, dan Jeruk Banjar",515.0,420.1,20.16,6.045,70.285,19.37,287.1,dinner
batch-07-039,"Nasi, Ikan Patin, Rebung Segar, dan Jeruk Banjar",515.0,436.4,20.735,6.105,73.195,,332.85,dinner
batch-07-040,"Nasi Merah, Cumi, Sawi Segar, dan Jeruk Banjar",505.0,485.25,39.39,8.875,58.65,11.23,121.4,dinner
batch-07-041,"Nasi, Tahu, Terong Segar, dan Jeruk Banjar",525.0,429.85,15.735,9.045,72.355,10.335,30.55,dinner
batch-07-042,"Nasi Merah, Tempe, Daun Kol Sawi Segar, dan Jeruk Banjar",495.0,491.7,21.5,19.94,62.84,9.92,63.3,dinner
batch-07-043,"Nasi, Kacang Merah, Daun Labu Siam Segar, dan Jeruk Banjar",525.0,483.9,22.685,2.265,95.01,15.79,45.0,dinner
batch-07-044,"Nasi Merah, Kacang Merah Segar, Daun Oyong Segar, dan Jeruk Banjar",525.0,410.1,15.58,1.81,84.975,13.455,102.2,dinner
batch-07-045,"Nasi, Kacang Tolo, Daun Pakis Segar, dan Jeruk Banjar",525.0,475.9,24.165,2.455,94.53,10.875,60.45,dinner
batch-07-046,"Nasi Merah, Kacang Gude, Gambas Segar, dan Jeruk Banjar",525.0,406.35,14.19,1.555,84.995,11.82,72.4,dinner
batch-07-047,"Nasi, Mujahir Goreng, Labu Siam Segar, dan Jeruk Banjar",485.0,553.8,31.215,13.895,72.62,19.26,40.4,dinner
batch-07-048,"Nasi Merah, Bebek Goreng, Rebung Segar, dan Jeruk Banjar",495.0,474.9,21.24,14.315,64.435,27.07,37.2,dinner
batch-07-049,"Nasi, Ikan Lais, Sawi Segar, dan Jeruk Banjar",515.0,445.55,24.035,6.715,71.27,,173.2,dinner
batch-07-050,"Nasi Merah, Kedelai Rebus, Terong Segar, dan Jeruk Banjar",505.0,428.25,21.45,7.23,71.475,11.55,164.05,dinner
batch-07-051,"Nasi, Kacang Belimbing, Daun Kol Sawi Segar, dan Jeruk Banjar",505.0,460.4,21.395,8.23,78.925,11.2,78.15,dinner
batch-07-052,Yoghurt dan Arbai,250.0,107.5,4.5,3.25,16.45,,42.925,snack
batch-07-053,Yoghurt dan Jeruk Banjar,250.0,143.5,4.5,2.8,25.15,8.1,44.5,snack
batch-07-054,Ubi Ungu dan Durian,200.0,292.8,3.72,3.76,65.44,5.08,2.0,snack
batch-07-055,Talas Bogor dan Duwet,180.0,176.0,1.7,0.84,40.76,1.46,24.8,snack
batch-07-056,Kacang Merah dan Buah Naga Putih,170.0,146.2,6.11,1.65,27.18,5.14,11.4,snack
batch-07-057,Kacang Merah Segar dan Biwah,160.0,137.4,6.3,0.7,26.92,2.8,4.6,snack
batch-07-058,Jagung Rebus dan Buah Mentega,200.0,181.0,5.7,0.9,40.0,2.8,6.0,snack
batch-07-059,Ubi Kukus dan Arbai,230.0,129.1,2.16,0.99,29.25,,10.925,snack
batch-07-060,Tahu dan Jeruk Banjar,180.0,142.2,6.78,5.34,18.42,6.54,7.8,snack
batch-08-001,"Talas Belitung, Kacang Merah, dan Kawista",330.0,463.9,13.54,3.82,94.66,8.18,24.3,breakfast
batch-08-002,"Ubi Gadung, Kacang Merah Segar, dan Gandaria",330.0,315.2,9.6,1.35,69.11,6.35,16.8,breakfast
batch-08-003,"Suweg Kukus, Kacang Tolo, dan Erbis",330.0,319.9,11.41,1.03,69.83,9.77,40.4,breakfast
batch-08-004,"Talas Bogor, Tahu, dan Jambu Biji Putih Tanpa Biji",330.0,333.0,10.91,7.55,59.7,5.63,42.1,breakfast
batch-08-005,"Ubi Kuning, Kacang Gude, dan Jambu Monyet",330.0,331.6,8.95,1.45,73.5,5.42,27.7,breakfast
batch-08-006,"Ubi Ungu, Yoghurt, dan Embacang",370.0,374.0,7.43,4.19,79.16,3.22,64.2,breakfast
batch-08-007,"Singkong Kukus, Kacang Tolo, dan Jeruk Keprok",330.0,383.9,11.16,1.63,83.58,4.27,18.4,breakfast
batch-08-008,"Jagung Rebus, Kacang Merah, dan Kawista",300.0,416.8,17.74,4.06,79.72,7.64,19.8,breakfast
batch-08-009,"Jagung Pipil, Kacang Merah Segar, dan Gandaria",300.0,368.0,13.26,5.1,71.84,5.84,13.8,breakfast
batch-08-010,"Roti, Susu Skim, dan Erbis",360.0,290.8,12.4,0.92,59.1,,415.0,breakfast
batch-08-011,"Ubi Kukus, Kacang Gude, dan Jambu Biji Putih Tanpa Biji",330.0,316.6,9.9,1.15,68.9,13.37,46.2,breakfast
batch-08-012,"Ubi Rebus, Tahu, dan Jambu Monyet",300.0,374.4,11.34,7.88,68.44,12.32,41.6,breakfast
batch-08-013,"Talas Belitung, Yoghurt, dan Embacang",400.0,393.5,8.15,4.55,82.7,3.4,73.5,breakfast
batch-08-014,"Suweg Kukus, Kacang Merah, dan Jeruk Keprok",330.0,309.9,11.29,1.17,66.31,5.03,18.8,breakfast
batch-08-015,"Ubi Gadung, Kacang Tolo, dan Kawista",330.0,362.4,12.96,3.83,70.23,6.67,28.4,breakfast
batch-08-016,"Nasi, Ayam Kalasan, Bayam Merah Segar, dan Embacang",500.0,616.0,39.32,11.92,86.8,6.54,185.0,lunch
batch-08-017,"Nasi Merah, Pepes Mujahir, Bit Segar, dan Embacang",510.0,467.7,27.49,3.4,84.32,7.46,119.2,lunch
batch-08-018,"Nasi, Ikan Baung, Buncis Segar, dan Embacang",510.0,511.6,25.82,6.38,92.24,,171.4,lunch
batch-08-019,"Nasi Merah, Pepes Ikan Mas, Bunga Pepaya Segar, dan Embacang",500.0,534.0,22.12,10.32,90.04,5.86,72.2,lunch
batch-08-020,"Nasi, Ikan Papuyu, Bunga Turi Segar, dan Embacang",510.0,534.8,24.84,8.25,91.39,8.74,350.2,lunch
batch-08-021,"Nasi Merah, Ikan Patin, Caisin Segar, dan Embacang",510.0,446.4,23.91,7.15,75.07,,386.1,lunch
batch-08-022,"Nasi, Cumi, Daun Gelang Segar, dan Embacang",500.0,586.0,40.08,10.04,84.76,4.74,83.0,lunch
batch-08-023,"Nasi Merah, Tahu, Daun Katuk Segar, dan Embacang",520.0,509.8,27.26,11.18,86.7,5.36,58.0,lunch
batch-08-024,"Nasi, Tempe, Caisin Segar, dan Embacang",480.0,555.6,20.4,18.16,84.64,6.58,52.2,lunch
batch-08-025,"Nasi Merah, Kacang Merah, Daun Kelor Segar, dan Embacang",520.0,618.8,25.26,4.78,121.2,21.26,137.0,lunch
batch-08-026,"Nasi, Kacang Merah Segar, Bayam Merah Segar, dan Embacang",520.0,540.0,19.4,3.16,110.46,10.04,50.2,lunch
batch-08-027,"Nasi Merah, Kacang Tolo, Bit Segar, dan Embacang",520.0,496.8,18.66,1.98,106.2,8.36,80.0,lunch
batch-08-028,"Nasi, Kacang Gude, Buncis Segar, dan Embacang",520.0,529.0,18.8,1.66,115.06,9.34,34.2,lunch
batch-08-029,"Nasi Merah, Mujahir Goreng, Bunga Pepaya Segar, dan Embacang",480.0,616.4,38.1,15.62,80.6,5.46,45.4,lunch
batch-08-030,"Nasi, Bebek Goreng, Bunga Turi Segar, dan Embacang",490.0,608.0,25.8,17.25,88.51,8.74,86.0,lunch
batch-08-031,"Nasi Merah, Ikan Lais, Daun Gelang Segar, dan Embacang",510.0,469.1,23.11,7.93,80.86,,146.8,lunch
batch-08-032,"Nasi, Kedelai Rebus, Daun Katuk Segar, dan Embacang",500.0,583.2,33.96,9.12,103.12,6.42,191.0,lunch
batch-08-033,"Nasi Merah, Kacang Belimbing, Daun Kelor Segar, dan Embacang",500.0,624.0,28.48,10.92,107.0,22.5,165.4,lunch
batch-08-034,"Nasi Merah, Ayam Kalasan, Bit Segar, dan Jeruk Keprok",505.0,504.35,35.45,10.11,68.745,7.65,206.3,dinner
batch-08-035,"Nasi, Pepes Mujahir, Buncis Segar, dan Jeruk Keprok",515.0,419.65,27.825,3.67,71.2,6.0,73.0,dinner
batch-08-036,"Nasi Merah, Ikan Baung, Bunga Pepaya Segar, dan Jeruk Keprok",515.0,429.3,24.73,6.33,68.89,,157.7,dinner
batch-08-037,"Nasi, Pepes Ikan Mas, Bunga Turi Segar, dan Jeruk Keprok",505.0,491.15,19.9,11.525,76.95,9.455,125.4,dinner
batch-08-038,"Nasi Merah, Ikan Papuyu, Caisin Segar, dan Jeruk Keprok",515.0,381.1,22.58,6.805,59.825,4.57,322.1,dinner
batch-08-039,"Nasi, Ikan Patin, Daun Gelang Segar, dan Jeruk Keprok",515.0,430.4,21.835,7.525,71.095,,339.25,dinner
batch-08-040,"Nasi Merah, Cumi, Daun Katuk Segar, dan Jeruk Keprok",505.0,536.45,48.41,10.515,68.43,5.23,121.2,dinner
batch-08-041,"Nasi, Tahu, Bayam Merah Segar, dan Jeruk Keprok",525.0,441.45,18.155,10.465,70.915,6.755,56.75,dinner
batch-08-042,"Nasi Merah, Tempe, Caisin Segar, dan Jeruk Keprok",485.0,436.7,18.62,17.02,58.42,6.44,61.1,dinner
batch-08-043,"Nasi, Kacang Merah, Daun Kelor Segar, dan Jeruk Keprok",525.0,594.5,25.105,5.005,112.93,22.33,146.0,dinner
batch-08-044,"Nasi Merah, Kacang Merah Segar, Bit Segar, dan Jeruk Keprok",525.0,434.9,16.9,1.91,91.235,10.975,80.0,dinner
batch-08-045,"Nasi, Kacang Tolo, Buncis Segar, dan Jeruk Keprok",525.0,447.9,19.545,2.335,91.99,6.855,36.05,dinner
batch-08-046,"Nasi Merah, Kacang Gude, Bunga Pepaya Segar, dan Jeruk Keprok",525.0,446.55,18.15,1.875,90.595,8.68,28.2,dinner
batch-08-047,"Nasi, Mujahir Goreng, Bunga Turi Segar, dan Jeruk Keprok",485.0,563.2,34.295,16.195,68.1,9.08,99.6,dinner
batch-08-048,"Nasi Merah, Bebek Goreng, Daun Gelang Segar, dan Jeruk Keprok",495.0,468.9,22.34,15.735,62.335,4.79,43.6,dinner
